artist_name,track_name,release_date,genre,lyrics
Dru Hill,Do You Believe,1996,classic soul,do you believe like i believe do you believe in love can t you see like i can see that we should be in love sisqo and lisa fell in love the other day talked one the phone so long they caught the break of day keisha and nokio don t talk like they used to but i guess that s just the things we go through when two are in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love you say you re tired of all those lonely nights at home tossing and turning wishing you were not alone i ve got to find a way to get you in my life and if i do i ll promise you i ll make you my wife do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love  i ain t got no time for love not time for hugs no time for me what was i thinking of said i got to find a way to get you back to me there are no guarantees in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe can t you see do you believe can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love do you believe like i believe do you believe in love can t you see like i can see that we should be in love
Talos,Reborn,2016,classic soul,o sanctum cover me no sound the river frozen our bed is in that ocean gather the church to me souls dripping down devotion my mother speaks on a wave washed away all that water washed away fall to water washed away all that water washed on a wave washed away all that water washed away fall to water washed away all that water washed o sanctum cover me we find the river swollen our birth is in that ocean no heights will harbour me get too near you ll fall away get too near you ll fall away ooooh on a wave washed away all that water washed away fall to water washed away all that water washed on a wave washed away all that water washed away fall to water washed away all that water washed you know what it feels like when that grinning skull shows teeth so take me over let the city fall from me in between the islands we will swim like children speak no one can hold us now no one can hold us now on a wave washed away all that water washed away fall to water washed away all that water washed on a wave washed away all that water washed away fall to water washed away all that water washed
Diana Ross & The Supremes,Ain't No Mountain High Enough,1968,classic soul,listen baby ain t no mountain high ain t no valley low ain t no river wide enough baby if you need me call me no matter where you are no matter how far just call my name i ll be there in a hurry you don t have to worry cause baby there ain t no mountain high enough ain t no valley low enough ain t no river wide enough to keep me from getting to you babe remember the day i set you free i told you could always count on me darling from that day on i made a vow i ll be there when you want me some way somehow cause baby there ain t no mountain high enough ain t no valley low enough ain t no river wide enough to keep me from getting to you babe oh no darling no wind no rain or winter s cold can stop me baby oh no cause you are my goal if you re ever in trouble i ll be there on the double just send for me oh baby my love is alive deep down in my heart although we are miles apart if you ever need a helping hand i ll be there on the double just as fast as i can don t you know that there  ain t no mountain high enough ain t no valley low enough ain t no river wide enough to keep me from getting to you babe don t you know that there ain t no mountain high enough ain t no valley low enough ain t no river wide enough ain t no valley low enough
Diana Ross & The Supremes,For Better Or Worse,1969,classic soul,for better or worse i ll say yes in that little church will you marry me boy for better or worse we can t find a home just a room without any view we ll walk our favorite march but least i ll have you i see the priest standing before you and me in my mind s eye i can see how it will be when he says to you for better or worse do you take this girl for your wife i ll say yes yes i do for all of my life for better or worse i ll make you love every new day bringing breakfast to your bed i ll spoil you that way i can t hardly wait for a boy baby can you i know he ll be cute cause he ll be like you i see the priest standing before you and me in my mind s eye i can see how happy we ll be i see the priest standing before you and me in my mind s eye i can see how happy we ll be
Kalin White,Pull Up,2016,classic soul,got them girls them girls that love us got them crazy tings that go nuts if you vibing with me pull up if you vibing with me pull up pull up pull up pull up in the west side of l a just touched down from the bay ride round with a couple girls they show me love they see me and they wanna touch i don t wanna flex but you might be up next yeah yeah ok ok let s make a bet right now got them girls them girls that love us got them crazy tings that go nuts if you vibing with me pull up if you vibing with me pull up pull up pull up pull up pull up to the ritz carlton twenty d we gon bring em all in turning up i m with my bros going out to a tease they re from canada i don t wanna flex but you might be up next yeah yeah ok ok let s make a bet right now you know what i want when i touch down hit you with a text and we up now got them girls them girls that love us got them crazy tings that go nuts if you vibing with me pull up if you vibing with me pull up pull up pull up pull up pull up pull up1
Gabrielle,Should I Stay,1999,classic soul,here i am waiting for a sign i never seem to know if you want me in your life where do i stand i just don t know i never feel i know you cos you blow hot and you blow cold it seems i ve grown attached though we re not the perfect match i just can t explain should i stay should i go could i ever really stand to let go can you not find the right words to say that maybe i m getting in your way i feel your warmth got me wanting more you ve left the door half open i m in two minds to explore but then again am i being honest being truthful to myself can i see my life without you could i be with someone else it seems i ve grown attached though we re not the perfect match i just can t explain oh no should i stay should i go could i ever really stand to let you go can you not find the right words to say that maybe i m getting in your way should i stay should i go i really think it s time that you should let me know can you not find the right words to say that maybe i m getting in your way it seems i ve grown attached though we re not the perfect match i just can t explain oh no should i stay should i go could i ever really stand to let you go can you not find the right words to say that maybe i m getting in your way should i stay should i go i really think it s time that you should let me know can you not find the right words to say that maybe i m getting in your way should i stay should i go could i ever stand to let you go can you not find the right words to say that maybe i m getting in your way should i stay should i go i think it s time you let me know can you not find the right words to say that maybe i m getting in your way 
Adina Howard,Your Man,1995,classic soul,1st verse turn the lights down baby and come to be baby let me put something on your mind mmmmm hmmm see i gotta let you know that i want what i want whenever i need baby so you better be ready tonight cause it s on chorus haven t you heard about my up and down you should ve known by now about the merry go round haven t you heard about my up and down you should ve known by now about the merry go round 2nd verse you said you be happy with a wife and happy home what i don t understand is why you re here with me tonight as if your girlfriend could do the freaky things i do to you you wouldn t have to time to hang around for my up and down deep in my heart i know i can make you moan c mon lets get it on baby all in my mind break down i wanna hold on tight cause tonight is the night we won t stop till we get it all right hold on tight tonight is the night baby you re in for the time of your life yeaaah haven t you heard about my up and down you should ve known by now about the merry go round haven t you heard about my up and down you should ve known by now about the merry go round said during last chorus 1
Avant,Thinkin’ About You,2002,classic soul,dah dah dah dah dah dah dah baby dah dah dah dah dah dah your my hopes my dreams my everything your sweet babe whoa whoa whoa oh yeah i wake up in a cold sweat why cuz i haven t seen you yet i only see you in my dreams i thought i heard you speak waiting for the day to end i ll be staring at your 8 by 10 and as i lay me down to sleep it starts all over again do you know i spend all day all night thinking about you dreamin about you do you know i spend most of my time wishing for you don t even know just how much that i m feeling you don t even know just how much that i m in love with you when i see you in the streets i play it off real cool but when i get all alone i feel like the fool remember in high school writing love notes you know how the game goes if you want me it s on or off do you know i spend all day all night thinking about you dreamin about you do you know i spend most of my time wishing for you don t even know just how much that i m feeling you don t even know just how much that i m in love with you it sounds so good to me yeah oh yeah you feel how i feel i m so confused because she don t even noticed me but do she really notice me i got to see how she feels cause baby my love is real no one can understand the way i feel about you baby you are my inspiration and for you i m never changing do you know i spend all day all night thinking about you dreamin about you do you know i spend most of my time wishing for you don t even know just how much that i m feeling you don t even know just how much that i m in love with you do you know i spend all day all night thinking about you dreamin about you do you know i spend most of my time wishing for you don t even know just how much that i m feeling you don t even know just how much that i m in love with you if i had the chance i would make you my wife saying dah dah dah dah dah dah dah dah dah dah dah 
Sly & The Family Stone,In Time,1973,classic soul,there s a mickey in the tasting of disaster in time you get faster harry hippie is a waste as if he has ta procrastinatin something moving in the brain of a doer in time feel a little newer i switched from coke to pep and i m a connoisseur mmm hmm cause there s a method in the madness of the thinking in time oh we oughta it seems the best of all the sadness is a sinkin in time muddy water and there s a wreck yard in the mind of a quitter in time he s gonna git bitter he don t give a heck or is he blind and makin litter in time gonna need a babysitter i felt so good i told the leader how to follow in time get down sho glad i could not feel indeed so very hollow no need to follow insecurities attracting every flirter in time yeah it s murder if you don t mind please why give slack to a deserter in time well well oh well daylight is all i see stay light and wait for me see you tomorrow noon miss me i ll see you soon i told you it s not the teachin it s the learning in time don t need no burning when i mold you to start reaching in the mornin in time well well there s a feeling oh so real in every human on time there s a reeling when you don t know what you re doing in time hey hey stay around to get a show don t you know two years too long to wait two words get it straight see an answer in time and that ain t nothing i m a dancer two years too long to wait two words get it straight two years too long to wait two words get it straight ah yessir yessir yeah two years too long to wait two words get it straight in time in time two years too long to wait two words get it straight1
Sly & The Family Stone,I Ain’t Got Nobody,1968,classic soul,i ain t got nobody lookin after me i ain t got nobody i am free i look around from time to time if you see me lookin don t pay me no mind let me tell you what i m tryin to find a girl who s for real all the time she don t have to wear a wig she don t have to be too big in any given community as long as she loves me i ain t got nobody i ain t got nobody i ain t got nobody i ain t got nobody for real for real for real i ain t got nobody lookin out for me i ain t got nobody ohh you can see all i want is a downhome girl i ll find her if she s in this world for real is all she has to be reality is all she has to see love is all she has to give life is all she has to live if i could have all of this i d let her have my every kiss i ain t got nobody i ain t got nobody i ain t got nobody i ain t got nobody for real i ain t got nobody lookin out for me i ain t got i ain t got nobody i am free i look around from time to time if you see me lookin don t pay me no mind let me tell you what i m tryin to find a girl who s for real all the time she don t have to wear a wig she don t have to be too big in any given community as long as she loves me i ain t got nobody i ain t got nobody i ain t got nobody i ain t got nobody1
Lloyd Price,I’m Gonna Get Married,1994,classic soul,but i m gonna get married my name she ll carry but not smart enough to hide an aching heart how come my heart deserts me burning full of love and desire how come every time she kiss me it sets my soul on fire how come every time she leave me it seems like i ve lost a part i may be too young to marry but not to hide an aching heart but i m gonna get married my name she ll carry but not smart enough to hide an aching heart how come every time she kiss me it thrills me from head to toe how come every time i see her it lifts me right off the floor how come every time i m with her she whispers so soft and low it makes me want to jump and holler and bump my head into a door but i m gonna get married my name she ll carry but not smart enough to hide an aching heart  i m gonna get married my name she ll carry but i m gonna get married my name she ll carry 
Sweetback,You Will Rise,1996,classic soul,ooh oh oh oh yeah i got a story that must be heard about a little girl who wished she was a bird she was unhappy livin in her ghetto cage but it gave her hope when her sweet grandma would say yeah baby you will rise limit is the skies don t you let nobody fill your head with their lies baby you will rise never compromise milk and honey is waitin for you on the other side she had a burning desire to go far and she had lively hopes of reaching every star one day she d leave this place but never forget her people s face and when she found her dreams she d come back and proclaim yeah baby you will rise limit is the skies don t you let nobody fill your head with their lies baby you will rise never compromise milk and honey is waitin for you on the other side rise oh rise oh oh oh oh rise you will rise  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh baby you will rise limit is the skies don t you let nobody fill your head with their lies baby you will rise never compromise milk and honey is waitin for you on the other side baby you will rise limit is the skies don t you let nobody fill your head with their lies baby you will rise never compromise milk and honey is waitin for you on the other side got a burning in my heart to keep it real and do my part i got a burning in my soul to recognize where i m from yeah i got a burning in my heart to keep it real and do my part i got a burning in my soul to recognize where i m from yeah got a burning in my heart to keep it real and do my part i got a burning in my soul to recognize where i m from yeah ah yeah ah yeah
Sweetback,Softly Softly,1996,classic soul,steamy like a winter storm softer than the sharpest thorn i held your hand and i was born so explain your fury you were never scorned you made me feel the way i felt you can do me wrong babe but make it feel make it feel softly softly show me you care easy easy keep me right there would you ever if i double dared hurt me harshly destroy me with care and make the first slice like i first cut you oh baby why you wanna just hurt me like you do softly softly show me you care easy easy keep me right there would you ever if i doubled dared hurt me harshly destroy me with care softly softly show me you care easy easy keep me right there never ever ever you dare hurt me harshly destroy me with care tell me baby oh oh softly baby oh yeah steamy like a winter storm softer than the sharpest thorn i held your hand and i was born softly softly destroy me with care yeah
Marvin Gaye,Strangers in the Night,2005,classic soul,strangers in the night exchanging glances wondering in the night what were the chances we d be sharing love before the night was through something in your eyes was so inviting something in your smile was so exciting something in my heart told me i must have you strangers in the night two lonely people we were strangers in the night up to the moment when we said our first hello little did we know love was just a glance away a warm embracing dance away ever since that night we ve been together lovers at first sight in love forever it turned out so right for strangers in the night ah ah yeah yeah mmm strangers in the night two lonely people we were strangers in the night up to the moment when we said our first hello little did we know love was just a glance away a warm embracing dance away ever since that night we ve been together lovers at first sight in love forever it turned out so right for strangers in the night ah it turned out so right for strangers in in the night we were strangers couple of strangers two lonely people ah but we were lovers groovy lovers couple of strangers ah loving strangers yeah
Ohio Players,Heaven Must Be Like This,1996,classic soul,you know what i think heaven is i think heaven is you you know that listen a place where i can find happiness a place close to your loveliness somewhere to rest my aching mind where there s no time your love is divine heaven must be like this it must be like this heaven must be like this it must be like this the sweet and sour taste of love we just made a good place in the shade a glass of lemonade don t be afraid just love heaven must be heaven must be like this heaven must be like this it must be like this wrap your love around me listen girl there s no place like you you re all the places a place where i can find happiness a place close to your loveliness somewhere to rest my aching mind where there s no time your love is divine  the sweet and sour taste of love we just made a good place in the shade a glass of champagne your lips are flames i ll go insane somewhere to rest my aching mind where there s no time your love is divine the sweet and sour taste of love we just made a good place in the shade a glass of champagne your lips are flames i ll go insane something sweet you kiss me again again kiss me again 
Hablot Brown,Safe and Sound,2017,classic soul,wait thought i told you to wait dear hey when you close your eyes dear play late again straight out of fear and know i won t even shed a single tear wondering how we wrote down a thousand songs bout the way that we went wrong and i m aloud to have wrote down i m safe and sound on this hollow ground wondering how we wrote down a thousand songs bout the way that we went wrong and i m allowed to have broke down i m safe and sound on this hollow ground
Harrison Brome,Gambling Hearts,2016,classic soul,i found my fears but i m blind to see that i risked my love by gambling hearts four leaves of green kill my belief crucify my soul we were born to restart so would you would you would you reach my hand if i gambled your heart cause i ve been pulling out the guns i shoot to aim love higher but something in my brain has got me setting fires burning down the bridge i crossed the seas to find her now i m sinking with the sand cause i m gambling hearts oh hearts i ll run with tears from these childish dreams cause i dreamt upon a curse of the stars two daggers deep but i failed to bleed cause i ve lived this life with holes from the start so would you would you would you reach my hand if i gambled your heart cause i ve been pulling out the guns i shoot to aim love higher but something in my brain has got me setting fires burning down the bridge i crossed the seas to find her now i m sinking with the sand cause i m gambling hearts oh hearts who knows who knows whats it s like to lose your mind who knows who knows whats it s like to feel nothing inside who knows who knows whats it s like to lose your mind who knows who knows whats it s like to feel nothing inside  cause i ve been pulling out the guns i shoot to aim love higher but something in my brain has got me setting fires burning down the bridge i crossed the seas to find her now i m sinking with the sand cause i m gambling hearts oh hearts1
Nina Simone,You Better Know It,2002,classic soul,i belong to you and i know i show it you belong to me baby you d better know it give me all your love sugar spice and sweet honey don t you ever quit not for love or money i d do most anything just to amuse you but there s nothing that i wouldn t do thought that i would ever lose you when i play the game i can t afford to blow it cause i play for keeps you d better know it yes i d do most anything just to amuse you but there s nothing that i wouldn t do if i ever thought i d lose you when i play the game i can t afford to blow it cause i play for keeps you d better know it 
TENDER,Oracle,2016,classic soul,i take your wrist i see your fate in the palm of your hand see your first kiss see the see the day they lower you into the ground i said hed always be lost girl i said hed only do wrong to you you said you tried to leave him but the love was too strong that was all i needed to hear no youll never be mine no ive never felt so bittersweet when im reading between the lines that was all i needed to see read it on the palm of your hand i sealed my fate when i looked underneath and found your love for another man crystal clear ive never met someone like you so easy to read your soul is at peace everybody youre consuming me baby im a mind reader you can let me in we can go a little deeper you can spread me thin you know im only looking for your good side i dont wanna be there when its not i will open your mind and purify make you cherish what you got  that was all i needed to hear no youll never be mine no ive never felt so bittersweet when im reading between the lines that was all i needed to see read it on the palm of your hand i sealed my fate when i looked underneath and found your love for another man that was all i needed to hear that was all i needed to hear1
Janet Jackson,Spending Time with You,2004,classic soul,mmm i close my eyes and fantasize and i just imagine a tropical island we re all alone our pagers and cell phones cut off hot sunny heat cool ocean breeze the sand beneath our feet the crashing waves are like music found a place to sleep passion fruit to eat use all our energy under the moonlight making love i don t think nothing can compare nothin better than nothin better than nothin better than spending time with you nothin better than nothin better than nothin better than spending time with you you are my angel heaven is close my favorite place is where you are so we don t have to do nothin special don t wanna run it s always fun to chill at home monday through friday sexy saturday easy sunday cause every day s a special one just like a holiday vacation getaway after the foreplay go room to room makin sweet love i don t think nothing can compare nothin better than nothin better than nothin better than spending time with you nothin better than nothin better than nothin better than spending time i need time  morning noon and night yeah just keep it comin baby just keep me comin baby i just love it so much hmm spending time with you that s all i wanna do hmm that s all i wanna do nothin better than nothin better than nothin better than spending time with you nothin better than nothin better than nothin better than spending time with you with my baby yeah nothin better than nothin better than nothin better than nothin better than spending time with you that s all i wanna do that s all i wanna do that s all i wanna do that s all i wanna do1
Janet Jackson,Damita Jo,2004,classic soul,damita jo sexy quiet shy but down for a good time taurus my sign like rain but love the sunshine makin headlines feel i m too deep to define simple inside but i m livin the diva life the damita jo do you like me do you want me just for what you see the damita jo do you think that i m that person you watch on t v the damita jo there s another side that i don t hide but might never show the damita jo if you wanna get close baby you can t till you get to know a friend and a lover a sista a freak undercover i do movies i do dance i do music i love doin my man i wanna nasty boy to put it on me good miss janet don t but damita sure would a little lady a whole lotta class but do me wrong i ll get in that ass  the damita jo do you like me do you want me just for what you see the damita jo do you think that i m that person you watch on t v the damita jo there s another side that i don t hide but might never show the damita jo if you wanna get close baby you can t till you get to know the damita jo do you like me do you want me just for what you see the damita jo do you think that i m that person you watch on t v the damita jo there s another side that i don t hide but might never show the damita jo if you wanna get close baby you can t till you get to know ooh i m a tell your daddy i m a tell your mama yeah girl sometimes you just wanna play sometimes you just wanna play
Janet Jackson,Black Eagle,2015,classic soul,do you know about the black eagle let me tell you about the black eagle strong and powerful king of the sky protecting all things with his watchful eyes faithful creature to the most high what are the visions that he holds you never know unless you ve been there you never know unless you ve been there beautiful soul i haven t met a spiritual connection i ll never forget your precious life incredible sharing his love that is meant for us all come outtta the shadows into the light free to imagine the future you like soaring above all of your boundaries yes the day will come just remember when you re overwhelmed dream and take some time to love yourself believe you re free to do whatever you want no no more room number four you never know unless you ve been there i m singing this love song to show my support to the beautiful people who have been ignored with blind eyes and cold shoulders attacking them invisible people they won t let fit in let s open our eyes to the true barriers stereotypical things are the worst stand face to face with the real ugly truth how would you feel if that was you because every life matters so we all should try a smile a kind word or extending a hand helping someone to feel human again if we never start it could be you on the other end  you never know you never know you never know no no you never know1
Blue Magic,Chasing Rainbows,1975,classic soul,i m chasing rainbows she passed away and i was so afraid cause there was just no one else who cared need someone to talk to guess i m feelin i m lost find myself just runnin away chasing rainbows in the dark and until the day the eagle flys i ll wait for you until i hold you close again i ll pray for you kick off my shoes and sing this song for you oh oh i m just chasing rainbows and i ain t seen a star as bright as your smile i m chasing rainbows like a butterfly zooming through the sky she loved fancy shoes and she would smile at me so cool and when she laughed it just made my day the days have turned to teardrops falling colder than the snow and ups and downs are getting me down it s no wonder that i m cold so until the day the eagle flys i ll wait for you until i hold you close again i ll pray for you memories of me sing this song for you oh oh i m just chasing rainbows and i ain t seen a star as bright as your smile i m chasing rainbows like a butterfly zooming through the sky the only one for me yes i ll be running around chasing rainbows oh here i go  i i m and i finally found it s true love no one but you so bad losing you i i m i i i m and i finally found it s true love no one but you so bad losing you i i m 
Muddy Waters,What Shakin on the Hill,2006,classic soul,there s a cool wind blowing in the sound of happy people at a party given for the gay and debonair there s an organ blowing in the breeze for the dancers hid behind the trees but i ain t never gonna see what s shakin on the hill that i someday may be joining in is just wishful thinking cause admission s only guaranteed to favored few there s a waiting list and plenty more in a long line leading to the door so i ll never know for sure what s shakin on the hill i m too blue to be played with and i get heartaches so they tell me no dice it isn t allowed in that carefree crowd to be seen with tears in your eyes so i make out i don t wanna know but i m the pretender kicking cans round while that happy sound keeps cracking on though i long so strong to be inside with the blues is where i do reside so i ll forever be denied what s shakin on the hill though i long so strong to be inside with the blues is where i do reside so i ll forever be denied what s shakin on the hill what s shakin on the hill what s shakin on the hill what s shakin what s shakin what s shakin what s shakin shakin on the hill what s shakin on the hill
Ruben Studdard,What If,2003,classic soul,umm umm umm ummmmm hmmmmm it s the smarter thing aww baby what if yeah yeah girl spend the day at the spa different day different car max out my card if you wanna whatever girl it ain t no problem nooo take a trip on a yacht leave them bags we gonna shop girl you know i ll do whatever it takes you know i love you like i used to love cake would you be cool if things changed if i didn t roll the benz and you didn t push the range i know what we got it s gon last babe but i still gotta ask what if i was broke what if i was slim what if i couldn t sing and i didn t win what if i had to catch the bus i ll still stay with my momma so there ain t no making love baby what if i had to use the pay phone just to get my game on would you still wanna put it on me what if what if what if what if what if what if take the keys to my crib just come over take a dip how much you need girl imma front you there ain t no limit to what i ll do nooo imma break you off with the ghetto love take your time it ain t no rush i m not trying to do nothing to mess it up but if i do i ll spend four millions to make it up would you be cool if things changed if i didn t roll the benz and you didn t push the range i know what we got it s gon last babe but i gotta ask you what if i was broke what if i was slim what if i couldn t sing and i didn t win what if i had to catch the bus i ll still stay with my momma so there ain t no making love baby what if i had to use the pay phone just to get my game on would you still wanna put it on me what if what if what if what if what if what if baby i would give up everything my life don t mean a thing girl i know for sure that your the only one i need tell me how would your life be would you still be my baby tell me yea yeah ohhh ewww ohhhh what if what if what if 
